FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
02-493-7522,"Proofpoint, Inc.","Financial Engines, Inc.",Technology,NASDAQ,Kids,PFPT,$3.82B,Suite 96,1 Messerschmidt Circle,37-3188534,0019-9120,NASDAQ,735567370-X,GT15 GUW9 STML TRYH JZKI MASG HQV0,,Euro,EUR
39-952-1527,First Trust Nasdaq Bank ETF,Colfax Corporation,n/a,NASDAQ,Health,FTXO,$1.03B,Room 943,1670 Prairie Rose Pass,39-5241475,68151-0487,NYSE,276792304-0,KW77 BZHR YMF5 LG8Q HUKE 3YLV GMAP GH,,Ruble,RUB
77-502-6942,Fuling Global Inc.,Resonant Inc.,Consumer Non-Durables,NASDAQ,Music,FORK,$57.51M,19th Floor,595 Transport Lane,02-7021402,10702-011,NASDAQ,724526168-7,FR75 1249 0483 11E7 I0GC AFXA U04,,Euro,EUR
03-579-7651,Nortech Systems Incorporated,Eaton Vance Senior Income Trust,Capital Goods,NASDAQ,Jewelry,NSYS,$9.15M,1st Floor,67719 Jackson Lane,13-8728333,54868-5273,NYSE,353333856-8,MC64 9190 5547 88E3 CF57 CRTH 159,,Peso,COP
50-474-7629,TCF Financial Corporation,Therapix Biosciences Ltd.,n/a,NYSE,Beauty,TCF^C,n/a,Room 735,60721 Amoth Pass,29-6170609,10565-067,NASDAQ,334298552-6,MD55 XVMG V69P SQYZ H99P WSW0,,Yuan Renminbi,CNY
52-364-3646,First Trust NASDAQ ABA Community Bank Index Fund,AU Optronics Corp,n/a,NASDAQ,Computers,QABA,$388.89M,8th Floor,0105 Packers Point,89-4068457,48878-0620,NYSE,127593962-7,LT42 0102 5590 0288 8142,,Hryvnia,UAH
85-921-8643,H. B. Fuller Company,"Penske Automotive Group, Inc.",Basic Industries,NYSE,Movies,FUL,$2.64B,Apt 745,16821 Eagle Crest Alley,97-6722288,53808-0930,NYSE,141910218-4,FR66 2413 1381 20LH PQDN TB1E U16,,Lempira,HNL
31-946-2230,Trimble Inc.,"HV Bancorp, Inc.",Capital Goods,NASDAQ,Outdoors,TRMB,$9.26B,PO Box 82325,0983 Morrow Hill,43-9249363,57520-0932,NASDAQ,224584802-0,AE91 6741 9238 5132 9424 074,,Somoni,TJS
11-182-4450,Nuveen Build America Bond Fund,Kite Realty Group Trust,n/a,NYSE,Toys,NBB,$555.7M,Room 1355,0 Del Mar Parkway,58-0740405,0113-0817,NYSE,404730206-6,NO02 4446 5439 719,,Real,BRL
05-949-2666,Western Digital Corporation,HSBC Holdings plc,Technology,NASDAQ,Kids,WDC,$25.37B,Apt 29,28308 Del Sol Street,19-0958736,43611-006,NYSE,915866642-7,MK80 999I HHME 7892 L58,,Peso,PHP
