FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
00-001-9130,"Manhattan Associates, Inc.",Federal Signal Corporation,Technology,NASDAQ,Home,MANH,$3.27B,Apt 560,9064 International Pass,25-9452571,NYSE,956488728-3,GL34 8274 9771 0259 04,61995-2385,Peso,PHP
00-010-4008,Capitala Finance Corp.,New Senior Investment Group Inc.,n/a,NASDAQ,Grocery,CPTA,$217.04M,PO Box 82354,38 Canary Drive,63-8034902,NYSE,912428978-7,KZ03 449H HIKT F9WM UBN0,67544-349,Real,BRL
00-015-5953,Nuveen Select Tax Free Income Portfolio II,Nuveen Select Tax Free Income Portfolio II,n/a,NYSE,Electronics,NXQ,$246.04M,10th Floor,092 Southridge Center,17-2905397,NASDAQ,283969327-5,BG22 VSTK 1677 775Y OIEU 6R,53746-254,Yuan Renminbi,CNY
00-025-4462,Solar Capital Ltd.,Solar Capital Ltd.,n/a,NYSE,Computers,SLRA,n/a,Suite 2,96739 Kings Alley,21-2355461,NYSE,060298345-2,TR56 1233 7S8V S2BQ YPG6 JTY2 BN,41163-517,Real,BRL
00-030-1727,Equity Commonwealth,Symantec Corporation,Consumer Services,NYSE,Beauty,EQC,$3.93B,Suite 70,6964 Thackeray Drive,68-4015352,NASDAQ,325115358-7,FR20 7157 1304 10BE PIDG F93Z R47,59779-094,Rupiah,IDR
00-039-9380,First Trust Dorsey Wright International Focus 5 ETF,"Apollo Global Management, LLC",n/a,NASDAQ,Baby,IFV,$661.16M,Apt 960,8172 Namekagon Way,47-0548519,NYSE,300511397-3,LV67 EKMJ CLTF PR3Y QJOU 0,0113-0437,Rupiah,IDR
00-042-9440,Control4 Corporation,Fortis Inc.,Capital Goods,NASDAQ,Shoes,CTRL,$471M,PO Box 75443,04814 Ohio Street,11-4763220,NYSE,875833556-0,FR81 8202 2116 70VV JQNM B2ZF M81,37205-345,Shekel,ILS
00-046-7039,Alliance National Municipal Income Fund Inc,"Voya Financial, Inc.",n/a,NYSE,Automotive,AFB,$392.94M,Room 895,168 Kings Crossing,45-5722876,NYSE,202615809-6,NO50 6051 0788 139,52125-531,Euro,EUR
00-056-8686,"Agile Therapeutics, Inc.",Public Storage,Health Care,NASDAQ,Computers,AGRX,$105.72M,PO Box 14428,05913 Novick Street,33-2657610,NYSE,715247768-X,GT35 KX3Q 3604 ZNLV BCZD ODZ9 AIK2,24286-1556,Leu,MDL
00-097-1901,"SPAR Group, Inc.",Global Indemnity Limited,Miscellaneous,NASDAQ,Books,SGRP,$21.07M,Apt 1481,8519 Pearson Lane,65-3763603,NASDAQ,167544108-1,ME65 2976 6067 5157 6307 23,51655-112,Afghani,AFN
