,Cluster ID,Link Score,source file,FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
916,0.0,0.9021447,0,17-597-2033,Hanesbrands Inc.,Hanesbrands Inc.,Consumer Services,NYSE,Home,HBI,$8.23B,,,44-7049208,NYSE,048440061-4,IS14 8310 4303 8870 9437 3687 61,61715-092,,Hryvnia,UAH
5985,0.0,0.9021447,1,17-597-2033,Hanesbrands Inc.,Hanesbrands Inc.,Consumer Services,NYSE,Home,HBI,$8.23B,Apt 480,9491 Riverside Road,44-7049208,,NYSE,048440061-4,IS14 8310 4303 8870 9437 3687 61,61715-092,Hryvnia,UAH
734,1.0,0.9021447,0,13-739-1485,Kennedy-Wilson Holdings Inc.,Kennedy-Wilson Holdings Inc.,Finance,NYSE,Baby,KW,$2.07B,Suite 66,24 Washington Trail,97-3484267,NYSE,474759613-5,MC61 6862 5354 67BH C9RD 6BAR 217,58517-140,,Yuan Renminbi,CNY
5815,1.0,0.9021447,1,13-739-1485,Kennedy-Wilson Holdings Inc.,Kennedy-Wilson Holdings Inc.,Finance,NYSE,Baby,KW,$2.07B,Suite 66,24 Washington Trail,97-3484267,,NYSE,474759613-5,MC61 6862 5354 67BH C9RD 6BAR 217,58517-140,Yuan Renminbi,CNY
717,2.0,0.9021447,0,13-290-3666,"Swiss Helvetia Fund, Inc. (The)","Swiss Helvetia Fund, Inc. (The)",,NYSE,Industrial,SWZ,$315.16M,Apt 1880,49 Thierer Street,48-3546280,NASDAQ,191030657-6,FR17 0829 0508 36KS UTVF VETP 341,16714-408,,Real,BRL
5791,2.0,0.9021447,1,13-290-3666,"Swiss Helvetia Fund, Inc. (The)","Swiss Helvetia Fund, Inc. (The)",,NYSE,Industrial,SWZ,$315.16M,Apt 1880,49 Thierer Street,48-3546280,,NASDAQ,,,,Real,BRL
706,3.0,0.9021447,0,13-135-7041,Houston Wire & Cable Company,Houston Wire & Cable Company,Consumer Non-Durables,NASDAQ,Garden,HWCC,$98.16M,7th Floor,10309 Fairfield Plaza,04-0997524,NYSE,937327665-4,DO78 LR2E 4365 1435 5704 4689 5019,,,Franc,XAF
5783,3.0,0.9021447,1,13-135-7041,Houston Wire & Cable Company,Houston Wire & Cable Company,Consumer Non-Durables,NASDAQ,Garden,HWCC,$98.16M,7th Floor,10309 Fairfield Plaza,04-0997524,,NYSE,937327665-4,DO78 LR2E 4365 1435 5704 4689 5019,68400-305,Franc,XAF
5776,4.0,0.9021447,1,13-016-4517,Histogenics Corporation,Histogenics Corporation,Health Care,NASDAQ,Automotive,HSGX,$35.47M,PO Box 42557,96049 Coolidge Pass,05-5890865,,NYSE,038436564-7,FO79 3451 9472 5401 24,69000-011,Lari,GEL
697,4.0,0.9021447,0,13-016-4517,Histogenics Corporation,Histogenics Corporation,Health Care,NASDAQ,Automotive,HSGX,$35.47M,PO Box 42557,96049 Coolidge Pass,05-5890865,NYSE,038436564-7,FO79 3451 9472 5401 24,69000-011,,,
