Cluster ID,Link Score,source file,FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
,,0,00-011-8792,Capital Southwest Corporation,Cross Timbers Royalty Trust,n/a,NASDAQ,Computers,CSWC,$258.42M,PO Box 31359,01394 Rigney Terrace,73-7662943,53808-0349,NYSE,590618327-2,RS35 7960 4019 0703 4350 29,,Real,BRL
19,0.9021447,0,00-025-4462,Solar Capital Ltd.,Solar Capital Ltd.,n/a,NYSE,Computers,SLRA,n/a,,,21-2355461,NYSE,060298345-2,TR56 1233 7S8V S2BQ YPG6 JTY2 BN,41163-517,,Real,BRL
,,0,00-036-1812,Westport Fuel Systems Inc,"SunCoke Energy Partners, L.P.",Energy,NASDAQ,Games,WPRT,$216.91M,Room 734,45441 Hayes Avenue,19-2518425,0536-3414,NYSE,776946650-4,LI30 9808 40W7 JSVK BJH3 D,,Manat,AZN
,,0,00-046-6140,Tsakos Energy Navigation Ltd,PowerShares S&P SmallCap Materials Portfolio,n/a,NYSE,Industrial,TNP^C,n/a,Suite 17,8 Jackson Center,89-9509857,65691-0105,NASDAQ,564556901-6,CY07 8995 2891 1QEM CAWE SXAD J7PC,,Yuan Renminbi,CNY
,,0,00-071-9691,Anixter International Inc.,"Level 3 Communications, Inc.",Consumer Non-Durables,NYSE,Health,AXE,$2.61B,Suite 46,8218 Sugar Point,29-2311127,0591-5694,NYSE,032791063-1,LU42 667T QP0S UDUW GTV2,,Ruble,RUB
,,0,00-093-5898,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,Western Asset Emerging Markets Debt Fund Inc,n/a,NASDAQ,Automotive,AGZD,$23.97M,Suite 63,2984 Kensington Park,14-2386128,63402-204,NYSE,478618867-0,FO68 7656 1927 4454 54,,Franc,CDF
,,0,00-100-7463,Atlantic Power Corporation,Magellan Midstream Partners L.P.,Energy,NYSE,Home,AT,$282.31M,Suite 18,12 Porter Alley,82-3306621,59630-320,NYSE,653538099-8,DE59 7228 9885 0035 1946 03,,Peso,PHP
,,0,00-146-2695,"Caseys General Stores, Inc.","Pandora Media, Inc.",Consumer Durables,NASDAQ,Garden,CASY,$4.23B,Suite 82,2400 Crowley Way,87-5767184,53808-0713,NYSE,990468145-7,CZ10 1216 3429 7966 4755 8714,,Peso,PHP
,,0,00-163-4738,Heico Corporation,Aspen Insurance Holdings Limited,Capital Goods,NYSE,Sports,HEI,$6.15B,Apt 1048,03020 Merry Point,28-7633996,0270-1315,NYSE,807585665-1,SA16 39JJ WRZP RLUD DP3Z 1LSD,,Dram,AMD
,,0,00-167-4977,Tenet Healthcare Corporation,Deckers Outdoor Corporation,Health Care,NYSE,Toys,THC,$1.83B,Suite 6,95 Armistice Center,59-6841928,49580-0408,NYSE,089716730-9,FR10 1500 0986 17CO CC2R QERP E38,,Krona,SEK
,,0,00-174-3292,Christopher & Banks Corporation,Mesabi Trust,Consumer Services,NYSE,Shoes,CBK,$48.91M,Apt 286,95629 Petterle Alley,72-8141090,54305-175,NYSE,379308998-3,NL93 POLZ 1507 9906 37,,Rupiah,IDR
29,0.51582336,0,00-187-7192,PowerShares DWA Momentum Portfolio,Sabine Royalty Trust,n/a,NASDAQ,Industrial,PDP,$1.38B,Suite 71,80 Superior Drive,80-4834691,67877-121,NYSE,263355221-8,AD07 4237 8754 HFHG AHVD SZHU,,Euro,EUR
,,0,00-208-1305,"Axcelis Technologies, Inc.",TCF Financial Corporation,Technology,NASDAQ,Beauty,ACLS,$708.76M,Apt 1918,4965 Pleasure Parkway,64-7729951,52915-020,NYSE,815504630-3,FR24 5781 2564 81QZ 7RHK JRTW D38,,Yuan Renminbi,CNY
,,0,00-223-4480,OncoGenex Pharmaceuticals Inc.,"Natural Alternatives International, Inc.",Health Care,NASDAQ,Home,OGXI,$10.46M,Room 1673,42273 Express Avenue,70-4293496,36987-1590,NASDAQ,157185906-3,LU52 909P OFZE 9UEM 0Y2G,,Baht,THB
,,0,00-225-7808,"Genesis Healthcare, Inc.",Kadant Inc,Health Care,NYSE,Automotive,GEN           ,$282.79M,Room 1380,233 Esch Parkway,73-4152788,13548-012,NYSE,756739576-2,HR10 7751 2884 6550 4395 0,,Zloty,PLN
,,0,00-235-8450,Eaton Vance NextShares Trust,"Sun Communities, Inc.",n/a,NASDAQ,Garden,EVGBC,n/a,Apt 1757,67636 Rusk Parkway,22-5857443,14783-105,NYSE,854534523-2,LI03 2821 8TH0 OYHZ XHQA D,,Yuan Renminbi,CNY
,,0,00-247-1151,Security National Financial Corporation,Universal Corporation,Finance,NASDAQ,Tools,SNFCA,$101.28M,Apt 572,55 Little Fleur Avenue,79-2911313,49288-0688,NYSE,331033654-9,LU47 923D RSBE QX6B TTNQ,,Yuan Renminbi,CNY
,,0,00-300-0758,KapStone Paper and Packaging Corporation,Saratoga Investment Corp,Basic Industries,NYSE,Baby,KS,$2.09B,Apt 2000,6 Hayes Terrace,95-2701192,49404-107,NYSE,513178461-1,FR92 9344 8666 134K WF3T XZUZ N57,,Peso,COP
